"match_id","season_year","tour_type","tour_type_human","date_timestamp","date_human","tournament","round","surface","surface_id","status","status_extra","home_name","away_name","home_id","away_id","home_rank","away_rank","home_points","away_points","winner_code","home_set_score","away_set_score","home_set_1_score","away_set_1_score","home_set_2_score","away_set_2_score","home_set_3_score","away_set_3_score","home_set_4_score","away_set_4_score","home_set_5_score","away_set_5_score","home_odds_match_winner","away_odds_match_winner","home_odds_first_set_winner","away_odds_first_set_winner","home_aces","away_aces","home_double_faults","away_double_faults","home_service_points_won_perc","away_service_points_won_perc","home_return_points_won_perc","away_return_points_won_perc","home_break_points_won_perc","away_break_points_won_perc","home_break_points_saved_perc","away_break_points_saved_perc"
"60458214",2022,1,"ATP Tour",1641164700,"02 Jan 2022","ATP Cup ATP","","hard",1,"FINISHED","FINISHED","Durasovic V.","Carreno-Busta P.","145031","771361",345,20,137,2230,2,0,2,3,6,3,6,"","","","","","",7.5,1.07,5.5,1.12,8,7,3,0,58,82,18,42,0,38,63,0
"39551276",2022,3,"ATP Chall",1641165000,"02 Jan 2022","Bendigo Chall. Men","1/32-finals","hard",1,"FINISHED","FINISHED","Errey C.","Agamenone F.","216734","680600","",201,"",323,2,0,2,2,6,6,7,"","","","","","","","","","",2,8,5,4,51,63,37,49,25,40,60,75
"41268600",2022,3,"ATP Chall",1641165000,"02 Jan 2022","Bendigo Chall. Men","1/32-finals","hard",1,"FINISHED","FINISHED","Cobolli F.","Addison A.","374892","478748",205,1428,321,4,1,2,0,6,2,7,6,"","","","","","",1.08,8,1.12,6,6,7,5,4,66,57,43,34,27,11,89,73
"20564192",2022,3,"ATP Chall",1641165000,"02 Jan 2022","Bendigo Chall. Men","1/32-finals","hard",1,"FINISHED","FINISHED","Mmoh M.","Torpegaard M.","564713","812191",239,231,263,279,1,2,1,4,6,6,3,6,0,"","","","",1.44,2.62,1.5,2.5,4,1,3,3,70,56,44,30,56,40,60,44
"51101405",2022,3,"ATP Chall",1641165000,"02 Jan 2022","Traralgon Chall. Men","1/32-finals","hard",1,"FINISHED","FINISHED","Ignatik U.","Moriya H.","309041","621474",413,289,99,187,1,2,0,6,1,6,3,"","","","","","",2.37,1.53,2.25,1.57,11,3,0,1,66,47,53,34,56,20,80,44
"13268879",2022,1,"ATP Tour",1641168300,"03 Jan 2022","Melbourne (Summer Set) ATP - Qualification","Qualifier","hard",1,"FINISHED","FINISHED","Baez S.","Polmans M.","956292","898178","","","","",1,2,0,7,5,6,2,"","","","","","",1.42,2.85,1.5,2.6,1,2,2,3,63,52,48,37,42,33,67,58
"91836420",2022,1,"ATP Tour",1641168600,"03 Jan 2022","Melbourne (Summer Set) ATP - Qualification","Qualifier","hard",1,"FINISHED","FINISHED","Zapata Miralles B.","Seppi A.","336426","453423","","","","",2,0,2,4,6,6,7,"","","","","","","","","","",4,5,1,1,53,62,38,47,44,100,0,56
"77207511",2022,1,"ATP Tour",1641169500,"03 Jan 2022","ATP Cup ATP","","hard",1,"FINISHED","FINISHED","Hurkacz H.","Metreveli A.","125963","997995",9,570,3706,55,1,2,1,6,7,6,3,6,1,"","","","",1,17,1.02,11,16,5,0,5,78,58,42,22,40,0,0,60
"57015486",2022,1,"ATP Tour",1641170100,"03 Jan 2022","Adelaide ATP - Qualification","Qualifier","hard",1,"FINISHED","FINISHED","Otte O.","Daniel T.","925629","646738","","","","",2,0,2,6,7,2,6,"","","","","","",1.44,2.8,1.52,2.55,5,12,5,4,62,64,36,38,25,75,25,75
"49666583",2022,1,"ATP Tour",1641170400,"03 Jan 2022","Adelaide ATP","1/16-finals","hard",1,"FINISHED","FINISHED","Nishioka Y.","Kwon S.","783204","614106",81,53,823,1115,2,0,2,1,6,2,6,"","","","","","",2.3,1.61,2.2,1.61,3,10,3,1,42,65,35,58,50,42,58,50
